GDP,HOUS_SAV,GDP_ID,TAX_REV,TAX_INC,SOC_CON,POP_TER,COST_STARTUP,ADJ_NET_INC,UNEMPLOY,TEA,TEAF
35216.52687,10.85632649,1.822692776,42.96,12.038,13.144,41.863441,5.8,32358.9915,8.249064,2.73,0.24
33176.68088,10.18473571,1.790606402,43.151,12.53,13.234,40.605904,11.1,30912.04406,8.438975,3.93,0.45
32034.43531,10.48160732,1.820504973,43.215,13.376,13.436,40.730312,11.3,29906.93792,8.387378,3.42,0.42
30899.47646,11.76971001,1.841195004,43.142,13.584,13.752,38.910217,11.1,25925.47388,8.172144,3.88,0.34
47905.47708,-2.898057536,2.914093489,48.531,26.247,0.072,42.130608,0.2,53772.46741,6.927884,5.47,0.53
44808.54921,0.122214384,2.981247114,45.512,23.278,0.096,40.244041,0,48824.98488,7.797653,5.36,0.41
44407.94207,0.799634991,2.944651358,44.793,23.18,0.11,38.580097,0,51243.68428,7.769598,4.63,0.46
43037.10381,1.837064158,2.917066277,44.756,23.241,0.1,37.582073,0,47972.22347,7.747934,3.77,0.44
40370.91761,0.65682461,3.05514206,44.963,25.172,0.059,37.610565,0,47491.41352,6.411551,3.64,0.53
41282.99547,-4.099243166,2.773457368,44.765,24.121,0.06,36.357128,0,52148.73368,3.683691,4.04,0.5
38975.93653,-3.033895175,2.515412389,46.425,24.498,0.074,36.185223,0,47963.95498,3.79897,5.39,0.73
37291.22597,-1.525675758,2.403002599,46.462,23.887,0.099,40.808071,0,43125.95105,3.898582,5.31,0.45
34152.88166,-4.272723521,2.393372907,48.005,23.981,0.107,39.83181,0,40328.31992,4.830782,4.71,0.47
32918.10772,-1.90641469,2.419163315,46.393,23.997,0.11,37.593121,0,38091.59747,5.507644,5.31,0.43
30790.00396,2.18458284,2.510845037,45.583,24.622,0.114,35.009655,0,32848.67474,5.406289,5.88,0.33
33866.75977,6.406824763,1.279955628,32.767,5.693,11.163,43.041157,1.2,16641.88067,5.762793,19.38,0.59
31228.85888,5.753311953,1.246171971,33.536,5.805,11.204,41.048111,1.2,14834.53555,6.753039,16.16,0.56
29444.31833,5.676438577,1.457111285,33.236,5.726,11.089,40.508533,1.3,14215.92618,6.191967,13.14,0.58
29107.89112,4.135953366,1.420892712,32.087,5.652,10.857,40.421608,1.4,16405.54702,7.355543,9.43,0.69
27596.45861,2.537240464,1.713013598,31.63,5.443,10.973,40.439819,1.5,15517.39835,8.631536,13.11,0.55
44929.94942,-1.347410673,2.724844126,44.025,13.022,12.792,41.13372,0.9,35856.28545,8.811286,6.71,0.72
42501.61153,-0.451939939,2.870184761,43.855,13.253,12.688,40.524899,0.9,34793.88528,9.367311,6.59,0.47
41749.86473,-0.002659574,3.14750818,43.814,13.395,12.659,40.308151,0.9,40680.14281,8.657802,5.63,0.7
41492.91842,0.947506867,3.271372008,43.616,12.786,12.606,39.992779,0.9,40209.10777,8.186392,5.29,0.61
40916.64733,1.052829479,3.618062809,42.033,12.283,12.077,39.377258,1,41496.64912,7.774969,6.25,0.53
38982.16869,3.266773475,3.705320262,40.788,12.05,12.105,39.207012,1,37972.25819,8.386981,5.72,0.52
38008.61163,3.290883487,3.734021689,40.934,12.711,12.183,39.388084,0.9,38546.71448,8.237782,5.17,0.67
40083.70194,-0.406593522,3.536968316,41.207,12.696,11.53,38.289055,1,43763.56603,6.362757,7.34,0.45
37799.16769,-0.703710271,3.337041567,41.508,12.539,11.461,39.297249,1,39994.42696,6.853993,6.91,0.54
34413.34505,-1.029839542,3.332155098,42.154,12.767,11.746,38.451385,1.1,34303.03406,7.714881,4.99,0.68
32051.76289,0.50873862,3.323698895,42.114,12.903,11.484,37.541725,1.2,32213.04534,8.37867,4.92,0.81
31173.2947,2.453773984,3.309072208,41.822,12.732,11.209,38.172512,1.2,31345.99306,8.816031,4.35,0.54
29019.84539,1.526458173,3.298221405,42.388,13.133,11.318,37.934616,1.1,26951.96123,9.016909,3.14,0.26
29088.94793,-16.91248287,1.131093778,38.912,6.23,11.512,42.479965,1.6,15780.2661,21.48901,4.82,0.68
27823.31489,-16.99699572,0.993937565,38.696,5.895,10.943,40.979172,2.3,15012.87441,23.54104,5.7,0.73
26902.32761,-15.46614626,0.961207155,36.635,5.729,10.61,40.063866,2.3,15026.319,24.90084,6.75,0.79
26838.58227,-13.80786051,0.833297289,36.003,5.909,10.397,38.66687,2.2,18024.08806,26.49027,7.85,0.59
26097.79752,-16.39343469,0.811312099,35.736,5.967,10.713,37.168961,12.1,17633.10925,27.46715,5.51,0.41
26141.09103,-8.863405381,0.671962477,33.641,4.776,10.693,32.736923,20.1,20538.34572,17.87071,7.95,0.58
28169.37708,-6.900527227,0.598376915,32.036,3.988,10.949,31.15996,20.7,21801.27771,12.71716,5.51,0.59
30388.35209,-1.125222189,0.625568914,30.751,4.472,10.167,29.599367,20.2,24350.9624,9.615903,8.79,0.52
30855.93577,-3.841099933,0.661832067,31.802,4.568,10.738,28.454678,22.5,26198.01014,7.760761,9.86,0.64
29289.73554,-1.228849582,0.57654971,31.797,4.536,10.718,28.066544,21.1,23853.20836,8.397298,5.71,0.43
28514.6294,-0.053997809,0.561182043,31.048,4.359,10.259,27.022612,21.7,20743.33504,9.008785,7.9,0.42
25577.44544,-2.862017662,0.578956184,31.872,4.376,10.709,25.663805,22,19286.50032,9.994969,6.5,0.35
25437.33352,1.154777466,0.527303336,30.462,4.102,10.515,25.493637,32.5,18593.97523,10.59146,5.77,0.33
23870.44922,0.930544036,0.546536615,31.488,4.089,11.005,23.732121,32.7,15720.81018,9.793463,6.77,0.42
27699.63085,7.022231316,1.190070996,39.149,5.225,13.006,30.400248,7.1,10357.7211,5.119285,7.94,0.46
26668.04086,7.292160926,1.346519917,38.655,5.279,12.49,32.12635,7.5,9873.288292,6.817803,7.92,0.53
25604.98829,7.461222078,1.349144472,38.006,5.233,12.354,32.109055,8.5,11135.19449,7.728486,9.33,0.39
24498.17908,6.847642407,1.386912396,37.955,5.324,12.383,30.876373,8.8,10877.88343,10.18524,9.68,0.57
22894.34764,6.62322065,1.186210703,36.25,5.024,12.35,28.107714,7.6,10845.92469,11.03269,6.29,0.52
21586.03607,5.947094522,1.137599186,37.266,6.497,11.696,26.019491,8.2,10096.54244,11.17377,7.13,0.42
20693.72508,5.568750979,1.130681514,38.946,7.297,12.619,25.0688,8,10006.04094,10.02932,9.13,0.53
20696.72857,3.289431569,0.978742799,39.451,7.604,13.195,23.960701,8.4,12149.6318,7.817173,6.61,0.66
19044.41873,3.740727567,0.955952191,39.386,7.159,13.248,21.989632,17.7,10664.08347,7.406472,6.86,0.49
18339.61801,8.016579024,0.978574906,36.532,6.653,12.116,20.717684,20.9,8975.387308,7.494521,6.04,0.5
17073.55144,7.460085505,0.921388158,36.535,6.543,11.914,19.573023,22.4,8840.163432,7.188301,1.88,1.69
16228.99398,5.735238688,0.861230081,37.016,6.568,11.749,18.881723,22.9,8082.055847,6.079033,4.29,0.68
15464.41131,1.498721832,0.918650759,37.248,7.015,12.069,16.786734,40.4,6630.006248,5.869752,6.53,0.5
40884.61637,2.749556412,3.212540351,31.37,5.904,12.523,60.426178,7.5,31107.44895,2.808333,4.68,0.44
39183.46568,0.076253978,3.400218535,30.273,5.722,12.012,58.585857,7.5,30650.29064,3.591667,3.83,0.25
39008.36056,0.649770991,3.314959827,28.862,5.549,11.79,58.368496,7.5,32488.22596,4.025,3.72,0.55
